Korpusglosa,Lexikonglosa,ID
FASTER[NN],FASTER(5b+ips),05631
FASTNA[AB],FASTNA(G+G),04758
FASTNA[AB],FASTNA(GG),05252
FATTA[VB],FATTA(5),04759
FATTAS[VB],FATTAS(55b),01691
FATTIG[JJ],FATTIG(5),00853
FATTIG[JJ],FATTIG(5+ner),05380
FAVORIT[NN],FAVORIT(JJ),00708
FEBRUARI[NN],,
FEL[AB],FEL(L),02645
FELFRI[VBS],FELFRI(J+J),00443
FEM[RG],FEM(5),11882
FEMTIO[RG],FEMTIO(5),11910
FEMTON[RG],FEMTON(G+5),11893
FEMTON[RG],FEMTON(5),05013
FEST[NN],FEST(YY+vrids),04508
FEST[NN],FEST(YY),04510
FESTA[VB],,
FESTIVAL[NN],FESTIVAL(YY),11048
FICKLAMPA[NN],FICKLAMPA(St>Q),01410
FICKLAMPA[NN],FICKLAMPA(7b),03633
FIKA[VB],FIKA(H),04534
FIKA[VB],FIKA(H+upp),04538
FILM[NN],FILM(J+ansikte+Q),03839
FILM[NN],FILM(J+Q),08116
FILMA[VB],FILMA(7),07911
FIN[JJ],FIN(HH),04606
FINAL[NN],FINAL(J+J),00251
FINEMANG[JJ],BRA(HH),07367
FINNAS[VB],FINNAS(J),00204
FINNAS-INTE-KVAR(da)[VB],,
FINNAS-INTE-KVAR(ea)[VB],,
FINNAS*INTE[VB],FINNAS(5)*INTE,01994
FINNAS*INTE[VB],FINNAS(G)*INTE,07429
FIRA[VB],FIRA(QQ+cirkel),03926
FIRA[VB],FIRA(QQ+ned),07697
FISA[VB],FISA(8o),04048
FISK(J)[NN],FISK(J),00234
FISK(L)[NN],FISK(L+L),02895
FISKA(Lt)[VB],,
FISKA(Q)[VB],FISKA(QQ),03899
FISKA(Q)[VB],FISKA(Q),08153
FIXA[VB],FIXA(HH+slås),04602
FIXA[VB],FIXA(HH+vrids),08410
FJORTON[RG],FJORTON(G+4),11892
FJORTON[RG],FJORTON(4),04989
FJORTON[RG],FJORTON(J+4),08935
FJÄLL[NN],FJÄLL(JJ),00678
FLASKA[NN],FLASKA(J+S),01424
FLASKA[NN],FLASKA(S+S),05648
FLERA[JJ],FLERA(55),01234
FLERA[JJ],FLERA(5),05533
FLESTA[JJ],FLESTA(OO),01885
FLEXIBEL[VBS],FLEXIBEL(AA),01326
FLICKA[NN],FLICKA(Jvt),05777
FLICKA.PL[NN],FLICKOR(S),00759
FLITIG[JJ],FLITIG(GG),02242
FLOTT[JJ],FLOTT(8),04307
FLOTT[JJ],FLOTT(8:),04308
FLY[VB],FLY(J+N),03993
FLYGA(It)[VB],FLYGA(Y),04496
FLYGA(It).DIT[VB],,
FLYGA(It).HIT[VB],,
FLYGA(J)[VB],FLYGA(JJ),11862
FLYTANDE[NN],,
FLYTTA[VB],FLYTTA(GG),02189
FLYTTA(Vb)[VB],,
FLYTTA.MULTI[VB],,
FLYTTA-UT[VB],FLYTTA-UT(GG),01873
FLÄCK[NN],FLÄCK(8b),01562
FLÖRTA[VB],,
FNATT[NN],IDIOT(5b),16642
FO[VB],,
FOGA-SIG[VB],FOGA-SIG(NN),04022
FOKUSERA[VB],,
FOLK[NN],FOLK(L),02574
FOLK[NN],FOLK(LL),07605
FOND[NN],FOND(J+Jvt),01134
FOND[NN],FOND(JJvt),01203
FORM[NN],,
FORM()+BESKRIVNING@p[VBAV],(POLY-FORM),07217
FORM()+UTSTRÄCKNING@p[VBAV],(POLY-FORM),07217
FORMELL[JJ],,
FORSKA[VB],FORSKA(VVb),08314
FORSKA[VB],FORSKA(VV+nedåt),10842
FORT[AB],FORT(LL),03169
FORTFARANDE(da)[AB],FORTFARANDE(55),00983
FORTFARANDE(ml)[AB],FORTFARANDE(J+J),12317
FORTSÄTTA[VB],FORTSÄTTA(J+J),00331
FOTBOLL(ea)[NN],FOTBOLL(G),07668
FOTBOLL(ea)[NN],FOTBOLL(G:),04863
FOTBOLL(ea)[NN],FOTBOLL(5),14090
FOTBOLL(ml)[NN],FOTBOLL(J+G),02117
FOTBOLL(ml)[NN],FOTBOLL(J+G+upp),14089
FOTBOLL.SPELA(L)[VB],,
FOTBOLL.SPELA(Lb)[VB],,
FOTBOLL.SPELA(Vb)[VB],,
FOTO[NN],FOTO(LLb),03527
FOTO.TA[VB],FOTA(Lb+Lb),00513
FRAM[AB],FRAM(Jvt),09235
FRAM-TILLBAKA[VB],,
FRAMFÖR[PP],FRAMFÖR(J+J),00290
FRAMTID[NN],FRAMTID(Jvt),00059
FRAMÖVER[AB],,
FRED[NN],FRED(^J),05085
FRED[NN],FRED(JJ),00080
FREDAG[NN],FREDAG(H),04567
FRI[JJ],FRI(55),01034
FRI[JJ],FRI(HH>I),05440
FRIVILLIG[JJ],,
FRISIM[NN],FRISIM(JJvt),07998
FRISK[VBS],FRISK(JJ>G),00581
FRISK[VBS],FRISK(55>G),00942
FRISK(J)[VBS],FRISK(JJ),05274
FRU[NN],FRU(5+H),04582
FRUKOST[NN],FRUKOST(L^JJ),03353
FRUKOST[NN],FRUKOST(H^JJ),07961
FRUKT[NN],FRUKT(G),01923
FRUSTRERAD[VBS],,
FRYSA(G)[VB],FRYSA(GG),02206
FRYSA(Ybt)[VB],FRYSA(5b),01504
FRÄMMANDE[JJ],FRÄMMANDE(J),05679
FRÄMST[JJ],FRÄMST(B),12383
FRÅGA[VB],FRÅGA(H),04568
FRÅGA-TILL[VB],FRÅGA-NÅGON(H),04540
FRÅGA-TILL1[VB],,
FRÅN[PP],FRÅN(J+J),00320
FRÖKEN[NN],FRÖKEN(5),00860
FUL[JJ],FUL(7),03238
FUL[JJ],FUL(J),08136
FULL(J)[JJ],FULLT(J+J),00341
FULL(J)[JJ],FULLT(G+J),04232
FULL(L)[JJ],FULL(LL+kors),02646
FULL(Y)[JJ],FULL(5),00786
FUNDERA[VB],FUNDERA(5),12313
FUNGERA[VB],FUNGERA(55),00969
FUNGERA[VB],FUNGERA(55:),05419
FUT-NEG[VB],FUT-NEG(J),00164
FUT-NEG[VB],FUT-NEG(JJ),05135
FYFAN@b[INTERJ],FYFAN@b,08889
FYLLA-ÅR[VB],FYLLA-ÅR(LL),03699
FYLLA-ÅR[VB],FYLLA-ÅR(QQ),07715
FYRA[RG],FYRA(4),11881
FYRKANT(J)[NN],,
FYRKANT(L)[NN],,
FYRKANT@kl[NNKL],,
FYRTIO[RG],FYRTIO(4),11909
FYSISK[JJ],FYSISK(55),07476
FÄNGELSE[NN],,
FÄRDIG[JJ],FÄRDIG(J+J),00310
FÄRDIG(da)[JJ],,
FÄRG[NN],FÄRG(5+5),00912
FÄRG[NN],FÄRG(J+5),14079
FÄRGA[VB],FÄRGA(HH),04597
FÄRJA[NN],FARTYG(JJ),00241
FÅ[VB],FÅ-1(JJ),05158
FÅ(A)[VB],GE(A),16369
FÅ1[VB],FÅ-1(J),00193
FÅ1(A)[VB],,
FÅ-INTE(G)[VB],FÅ-INTE(G+G),02835
FÅ-INTE(J)[VB],,
FÅ-INTE(L)[VB],FÅ-INTE(L),02087
FÅ-NOG[VB],FÅ-NOG(J),00110
FÅ-SIG-LÄXA[VB],,
FÅ-SYN-PÅ[VB],FÅ-SYN-PÅ(5+^5b),01496
FÅ-SYN-PÅ[VB],FÅ-SYN-PÅ(^5b),01497
FÅ-TAG-PÅ[VB],FÅ-TAG-PÅ(5b),01546
FÅGEL[NN],FÅGEL(7v),03275
FÅNGA[VB],FÅNGA(55>G),01683
FÅNGE[NN],FÅNGE(G+G),03379
FÅNGE[NN],FÅNGE(GG),02187
FÅNIG[JJ],FÅNIG(J+A),01293
FÄST-VID[VB],VARA-FÄST-VID(G),01973
FÖDA[NN/VB?],FÖDA(JJ),05779
FÖDA[NN/VB?],FÖDA(JJ+fram),12922
FÖDD[VB],FÖDD(JJ),07278
FÖLJA[VB],FÖLJA(LL),03184
FÖLJA-EFTER[VB],FÖLJA-EFTER(BB),02517
FÖLJA-EFTER(L)[VB],FÖLJA-MED(LL+bakom),03185
FÖLJAS-ÅT[VB],FÖLJA-MED(LL+mot),03182
FÖNSTER(L)[NN],FÖNSTER(LL),03150
FÖNSTER(Y)[NN],FÖNSTER(5),01045
FÖR[AB],FÖR(L),02850
FÖRBANNAD[VBS],FÖRBANNAD(8),04803
FÖRBANNAD[VBS],FÖRBANNAD(8+m),08437
FÖRBEREDA[VB],FÖRBEREDA(J+J+slås),00316
FÖRBEREDA[VB],FÖRBEREDA(J+J+in),00586
FÖRBI[PP],FÖRBI(B+B),02427
FÖRBIPASSERA[VB],PASSERA(J+J),02032
FÖRBJUDA(G)[VB],FÖRBJUDA(G+G),02836
FÖRBJUDA(L)[VB],FÖRBJUDA(L),08683
FÖRBRYLLAD[AB],FÖRVIRRAD(5+studs),13592
FÖRBRYLLAD[AB],FÖRVIRRAD(55+studs),12945
FÖRDEL[NN],,
FÖRDOM[NN],FÖRDOM(L^GG),02618
FÖRE[PP],FÖRE(J+J),00298
FÖREBILD[NN],FÖREBILD(J),08175
FÖREDETTA[JJ/?],FD(hö)@b,11750
FÖREDETTA[JJ/?],FD(fram)@b,08923
FÖREDRA[VB],FÖREDRA(G),02616
FÖREDRA[VB],FÖREDRA(B),07621
FÖRELÄSA[VB],FÖRELÄSA(L^55),02761
FÖRELÄSA[VB],FÖRELÄSA(55),07723
FÖRELÄSA[VB],FÖRELÄSA(5^55),15587
FÖRELÄSA(ml)[VB],FÖRELÄSA(5^5+5),00838
FÖRELÄSA(ml)[VB],FÖRELÄSA(5+5),05374
FÖRENING[NN],FÖRENING(77b),09598
FÖRENING.PL[NN],,
FÖRESLÅ[VB],,
FÖRETAG[NN],FÖRETAG(7b),03660
FÖRETRÄDARE[NN],,
FÖRFÖLJA[VB],,
FÖRFALLEN[VBS?],FÖRFALLEN(B),02303
FÖRFALLEN.LITE[VBS?],,
FÖRHANDLA[VB],FÖRHANDLA(LL),03073
FÖRHINDRAD[VBS],FÖRHINDRAD(S),01387
FÖRHINDRAD[VBS],FÖRHINDRAD(V+[s]),04130
FÖRHINDRAD[VBS],FÖRHINDRAD(V),08234
FÖRKLARA[VB],FÖRKLARA(J+O),01820
FÖRKLARA[VB],FÖRKLARA(L^J+O),07732
FÖRLORA[VB],FÖRLORA(55),00810
FÖRLORA[VB],FÖRLORA(OO>5),01864
FÖRLÅT[INTERJ],FÖRLÅT(J),10053
FÖRMAN[NN],FÖRMAN(J),00218
FÖRMEDLA[VB],FÖRMEDLA(JJ~),00575
FÖRMEDLA[VB],FÖRMEDLA(JJ),00619
FÖRR-I-TID[AB],FÖRR(J),04731
FÖRRÅD[NN],FÖRRÅD(J+J+ner),11848
FÖRRÅD[NN],FÖRRÅD(J+J+vä),08925
FÖRSENT[AB],FÖRSENT(J+S),00487
FÖRSIKTIG[JJ],FÖRSIKTIG(5b),01502
FÖRSIKTIG[JJ],FÖRSIKTIG(5b:),05682
FÖRSKOLA[NN],FÖRSKOLA(G+S),01391
FÖRSKRÄCKT[VBS],BLI-FÖRSKRÄCKT(SS),03340
FÖRSLAG[NN],FÖRSLAG(^+J+J),00425
FÖRSOFFAD[VB],,
FÖRST[AB],FÖRST(L+L),02950
FÖRSTA-GÅNGEN[NN],FÖRSTA-GÅNG(LL>55),03215
FÖRSTA-GÅNGEN[NN],FÖRSTA-GÅNG(LL),07890
FÖRSTA-PLATS[NN],FÖRSTA-PLATS(L),02810
FÖRSTA-PLATS[NN],FÖRSTA-PLATS(L:),04878
FÖRSTA-PLATS[NN],FÖRSTA-PLATS(L+vrids),07737
FÖRSTORA[VB],FÖRSTORA(55),04849
FÖRSTRÖ[VB],,
FÖRSTÅ[VB],FÖRSTÅ(L),02570
FÖRSTÅ(L)[VB],FÖRSTÅ(L),02570
FÖRSTÅ(Y)[VB],GÅ-UPP-FÖR(L),02605
FÖRSTÅ(Y)[VB],GÅ-UPP-FÖR(55),07617
FÖRSTÅ-INTE[VB],FÖRSTÅ-INTE(Lb),03474
FÖRSTÅ-INTE[VB],FÖRSTÅ-INTE(Lb:),15277
FÖRSTÅ*INTE[VB],FÖRSTÅ(L)*INTE,02567
FÖRSTÖRA[VB],FÖRSTÖRA(J+5b),01607
FÖRSÖKA[VB],FÖRSÖKA(Vb^Vb+Vb),04350
FÖRSÖKA[VB],FÖRSÖKA(Vb+Vb),08317
FÖRSÖKA-SAMTALA[VB],,
FÖRSÖRJA[VB],FÖRSÖRJA(QQ),03920
FÖRTJUST[VBS],FÖRTJUST(O),01776
FÖRTJUST[VBS],FÖRTJUST-I(O),16255
FÖRTROENDE[NN],,
FÖRTVIVLAD[VBS],FÖRTVIVLAD(GG),02125
FÖRUT[AB],FÖRUT(J),09561
FÖRUT[AB],FÖRUT(J:),00060
FÖRVIRRAD[JJ],FÖRVIRRAD(5+studs),13592
FÖRVIRRAD[JJ],FÖRVIRRAD(55+studs),12945
FÖRVÅNAD(L)[VBS],FÖRVÅNAD(J+L),02952
FÖRVÅNAD(L)[VBS],FÖRVÅNAD(LL),04881
FÖRVÅNAD(L)[VBS],FÖRVÅNAD(L),07792
FÖRVÅNAD(Vbt)[VBS],FÖRVÅNAD(88b),04449
FÖRVÅNAD(Vbt)[VBS],FÖRVÅNAD(88b≈),04450
FÖRVÅNAD(Vbt)[VBS],FÖRVÅNAD(88b:),08354
FÖRVÅNAD(Yt)[VBS],,
FÖRÄLDRAR[NN],FÖRÄLDRAR(L^J),13821
FÖRÄLDRAR[NN],FÖRÄLDRAR(J^L),05787
FÖRÄLSKAD[VBS],FÖRÄLSKAD(O),01779
FÖRÄNDRA[VB],FÖRÄNDRA(GG),02221
GALEN[JJ/VBS?],GALEN(7a),03314
GAMMAL(G)[JJ],GAMMAL(G+vä),01934
GAMMAL(G)[JJ],GAMMAL(G+fram),07407
GAMMAL(Y)[JJ],GAMMAL(4+ner),00789
GAMMAL(Y)[JJ],GAMMAL(5)^FARMOR(G),08414
GAMMAL(Y)[JJ],GAMMAL(4+fram),05348
GAMMALDAGS[VBS],,
GANSKA[AB],GANSKA(JJ),00641
GARDIN[NN],,
GATA[NN],GATA(JJ),00587
GATA[NN],GATA(JJ:),05275
GE[VB],GE(JJvt),00721
GE[VB],GE(J),08931
GE-FAN[VB],STRUNTA-I(NN),01722
GE-FAN[VB],STRUNTA-I(N),07341
GE-UPP[VB],GE-UPP(JJ),00736
GE-UT[VB],GE-UT(QQ),03870
GEMENSAM[JJ],GEMENSAM(SS),01469
GENERATION[NN],GENERATION(LL),03080
GENERELL[JJ],GENERELLT(VV),04269
GENOM[PP],GENOM(J+J),00402
GESTIKULERA[VB],GESTIKULERA(LL),13513
GETING[NN],,
GIFT[VBS],GIFT(J+H),00647
GIFT[VBS],GIFT(J+O),05290
GILLA[VB],GILLA-MYCKET(LL),03061
GILLA-INTE[VB],GILLA-INTE(5),04784
GLAD[JJ],GLAD(J),00165
GLAD[JJ],GLAD(JJ),05136
GLAS(S)[NN],GLAS(J+S),00901
GLAS(Lb)[NN],GLAS(J+Lb)^KROPP,13322
GLAS(Vb)[NN],GLAS(J+Vb),02172
GLASÖGON[NN],GLASÖGON(LL),03063
GLO[VB],GLO(88b),04447
GLO[VB],GLO(88b+fram),04448
GLOBFORM[VBAV],GLOB(JJvt),16293
GLOBFORM.LITEN[VBAV],,
GLOSA: [?],,
GLOSA:()[?],,
GLOSA:(?)[?],,
GLOSA:(PF)[?],,
GLOSA:(PD)[?],,
GLOSA:(PS)[?],,
GLÄDJE[NN/VBS?],GLÄDJE(55),00955
GLÖMMA[VB],GLÖMMA(5),00824
GLÖMMA-BORT[VB],GLÖMMA(JJt>Ja),09060
GLÖMMA-BORT.HELT[VB],GLÖMMA-HELT-BORT(L^JJ),04479
GLÖMMA-BORT.HELT[VB],GLÖMMA-HELT-BORT(JJv),09222
GNÄLLA[VB],GNÄLLA(LL),03890
GNÄLLA[VB],GNÄLLA(L),08140
GOD[JJ],GOD(J),00172
GODIS[NN],GODIS(L+L),02740
GODIS[NN],GODIS(L^L+L),07717
GODKÄNNA[VB],GODKÄNNA(L^LL),02631
GODKÄNNA[VB],GODKÄNNA(LL),09051
GOD*MORGON[INTERJ],GOD(J)^MORGON,05590
GOD*MORGON[INTERJ],GOD(J)^MORGON(J),08549
GOLF[NN],GOLF(Q),02008
GOLF[NN],GOLF(G+slås),14156
GOLV[NN],,
GOTT[JJ],GOTT(J),00166
GOTT[JJ],GOTT(J+mage),05137
GOTT-OM[AB],GOTT-OM(5),05106
GRAMMATIK[NN],GRAMMATIK(G),11347
GRAN[NN],GRAN(JJ),00695
GRANNE[NN],GRANNE(LL),02899
GRANNE[NN],GRANNE(L+L),07761
GRATIS[JJ],GRATIS(55),01035
GRAVID[VBS],,
GREPP()+HANTERA@p[VBAV],(POLY-GREPP),07182
GREPPA[VB],,
GREPPHÅLLA()[VBAV],,
GRILLA[VB],GRILLA(VV),04286
GRIS[NN],GRIS(J+Jvt),01149
GRODA[NN],GRODA(J),00104
GROVLEK(JJ)[VBS/VBAV],,
GROVLEK(JJv)[VBS/VBAV],,
GROVLEK(Lbt)[VBS/VBAV],,
GROVLEK(LLbt)[VBS/VBAV],,
GROVLEK(RRbt)[VBS/VBAV],,
GROVLEK(S)[VBS/VBAV],,
GROVLEK(YYbt)[VBS/VBAV],,
GRUND[NN],GRUND(J+ner+J),00473
GRUND[NN],GRUND(J+upp+J),06768
GRUPP[NN],GRUPP(SS),01462
GRUPP.DELA[VB],,
GRUPP.LITEN[NN],GRUPP(SS),01462
GRUPP@kl[NNKL],,
GRYM[VBS],GRYM(G),01952
GRÄDDE[NN],GRÄDDE(J+J),00420
GRÄMA-SIG[VB],,
GRÄNS[NN],GRÄNS(J+J),00162
GRÄNS[NN],GRÄNS(J+inåt+J),05127
GRÄS[NN],GRÄS(J+5),07590
GRÄVA[VB],GRÄVA(GG),02281
GRÅ[JJ],GRÅ(J+J),00451
GRÅ[JJ],GRÅ(J+5b),04830
GRÅTA(L)[VB],GRÅTA(LL),03065
GRÅTA(L)[VB],GRÅTA(LL~),07840
GRÅTA(Lb)[VB],GRÅTA(LLb),03560
GRÖN[JJ],GRÖN(J+J),00419
GRÖT[NN],,
GUBBE[NN],GUBBE(G),01935
GUD[NN],GUD(^L),06827
GUD[NN],GUD(L+upp),06828
GUD[NN],GUD(L),15646
GUL[JJ],GUL(L+7a),03390
GUMMI[NN],GUMMI(J+Q),03857
GURKA[NN],,
GYMNASIUM[NN],GYMNASIUM(B),02297
GYMNASTIK[NN],GYMNASTIK(JJ:+upp),01183
GYMNASTIK[NN],GYMNASTIK(JJ),13935
GYMNASTIK[NN],GYMNASTIK(JJ:),14172
GYMPA[NN],GYMNASTIK(JJ:+upp),01183
GYMPA[NN],GYMNASTIK(JJ),13935
GYMPA[NN],GYMNASTIK(JJ:),14172
GYNNSAM-FÖLJD[?],LYCKAS(J+5b),01581
GÄLLA[VB],GÄLLA(J+J),00366
GÄRNA[AB],GÄRNA(JJ),00178
GÄRNA[AB],GÄRNA(J),05140
GÅ[VB],GÅ(J+V),04238
GÅ()[VB],,
GÅ(GG)[VB],,
GÅ-AV[VB],GÅ-AV(J+Vb),11763
GÅ-IN(L)[VB],GÅ-IN(J+L),03033
GÅ-IN(N)[VB],GÅ-IN(J+L),03033
GÅ-INTE[VB],,
GÅ-PÅ-DET[VB],LÅTSAS-FÖRSTÅ(G+G),01971
GÅ-UTFÖR[VB],GÅ-UTFÖR(J+J),15456
GÅ(N).OMKRING[VB],,
GÅNG[NN],GÅNG(J+L),07696
GÅNG.PL[NN],GÅNGER(J+L:),02877
GÅNG+[NN?],,
GÅRD[NN],GÅRD(J),00259
GÅTT[VB],,
GÖMMA[VB],GÖMMA(J+J),00463
GÖR-DETSAMMA[VB],GÖR-DETSAMMA(VV),04271
GÖRA[VB],GÖRA(JJ),00563
GÖRA-AV-MED[VB],BLI-AV-MED(J+J),00376
GÖRA-SLUT[VB],,
HA[VB],HA(J),00958
HA[VB],HA(J:),16234
HA-INGEN-LUST[VB],HA-INGEN-LUST(55),01025
HAKLAPP[NN],,
HALL[NN],HALL(JJ),04842
HALSDUK[NN],HALSDUK(QQ),03863
HALSDUK[NN],HALSDUK(SS),16242
HALSDUK.KNYTA[VB],,
HALS-BUNDEN[VB],BUNDEN(SS+vä),01650
HALS-BUNDEN[VB],BUNDEN(55b+hö),07268
HALS-HÄNGA[VB],HÄNGA-SIG(G),03051
HALTA[VB],HALTA(L+L+in),03053
HALTA[VB],HALTA(L+L+mot),07834
HALV[JJ],HALV(J+J),00379
HALVTIMME[NN],HALVTIMME(J+L),03017
HALVTIMME[NN],HALVTIMME(L),07828
HAMBURGARE[NN],HAMBURGARE(J+Y),04501
HAMMARE[NN],HAMMARE(Q),03829
HAMN[NN],HAMN(J+J+fram),00475
HAMN[NN],HAMN(J+J+vä),05227
HAND[NN],HAND(J+J),10866
HAND()+HANTERA@p[VBAV],(POLY-HAND),05163
HANDALFABET[NN],HANDALFABET(5b),04843
HANDALFABETA[VB],,
HANDBOLL[NN],HANDBOLL(5b+slås),01561
HANDBOLL[NN],HANDBOLL(5b),07774
HANDDUK[NN],,
HANDIKAPP[NN],HANDIKAPP(B+B),12883
HANDLA(da)[VB],HANDLA(BB:),02539
HANDLA(ml)[VB],HANDLA(J+A),05683
HANDLA(ml)[VB],HANDLA(J+A+hö),08563
HATA[VB],HATA(Jvt),00133
HATT[NN],HATT(8),02603
HA*INTE[VB],HA(5)*INTE,07516
HAV[NN],HAV(D),04748
HEDRA[VB],HEDRA(JJ),00679
HEJ[INTERJ],HEJ(J),00032
HEJA[VB],HEJA-PÅ(GG+cirkel),07895
HEL@b[JJ],,
HELA[JJ],HELA(5),04848
HELA-DAGEN[AB],HELA-DAGEN(J+J),16266
HELA-TIDEN[AB],,
HELG[NN],HELG(JJ),00609
HELIG[JJ],HELIG(JJ),15656
HELLER[AB],HELLER(VV),08970
HEM[NN],HEM(J+J),00498
HEMLIG[NN],HEMLIG(S),01380
HEMLIGHÅLLA[VB],HÅLLA-TYST(Q),03796
HEMLIGHÅLLA[VB],TIGA(Q),15592
HEMMA[AB],HEMMA(JJ),00683
HEMMA[AB],HEMMA(J+fram),15960
HEMSK[JJ],HEMSK(5),00171
HET[JJ],HET(J^J+J>A),04790
HET[JJ],HET(J^J+J),05075
HETA[VB],HETA(J+L),02892
HIMMEL[NN],HIMMEL(J),00005
HINDER[NN],HINDRA(J+J:),00352
HINDRA(B)[VB],HINDRA(Y),04488
HINDRA(It)[VB],HINDRA(Y),04488
HINDRA(Lbt)[VB],HINDRA(77b),03728
HINNA[VB],HINNA(J+5b),01579
HISS[NN],HISS(NN:),04856
HISS[NN],HISS(NN),08445
HISTORIA(It)[NN],HISTORIA(Y),04491
HISTORIA(Yt)[NN],HISTORIA(5),00869
HISTORIA(Yt)[NN],HISTORIA(J),00047
HITTA[VB],HITTA(J+5b),05678
HITTA-PÅ[VB],HITTA-PÅ(4[th]),00799
HITTA-PÅ[VB],HITTA-PÅ(4),14309
HITTA-PÅ(Lvs)[VB],FÅ-EN-IDÉ(L),03769
HJORT[NN],HJORT(55),12327
HJÄLM[NN],HJÄLM(Jvt),01076
HJÄLPA[VB],HJÄLP(JJ),00625
HJÄRNA[NN],HJÄRNA(Jvt),03458
HJÄRNA[NN],HJÄRNA(Lb),08005
HJÄRTA[NN],HJÄRTA(Jvt+vä),01107
HJÄRTA[NN],HJÄRTA(Rx),04809
HJÄRTA[NN],HJÄRTA(Lx),05460
HJÄRTA[NN],HJÄRTA(Lb),08380
HOCKEY-BOCKEY[NN],RINKBANDY(Q),10607
HOMOSEXUELL[VBS],HOMOSEXUELL(J),00045
HON@b[PN],HON@b,05389
HONUNG[NN],HONUNG(7),03269
HOPP[NN],HOPP(JJ>Jvt),06877
HOPPA[VB],HOPPA(J+Vb),04222
HOPPA-AV[VB],HOPPA-AV(J+Vb),04418
HOPPAS[VB],HOPPAS(J),00179
HOPPAS[VB],HOPPAS(EE),02291
HOPPAS[VB],HOPPAS(XX),04609
HOPPAS[VB],HOPPAS(G),05141
HOS[PP],HOS(LL),03166
HOTELL[NN],HOTELL(J+J+handled),05064
HOTELL[NN],HOTELL(J+J),00055
HUD[NN],HUD(Q),03781
HUD[NN],HUD(J+Q),07882
HUMOR[NN],,
HUMÖR[NN],HUMÖR(H),04571
HUND[NN],HUND(J),00222
HUNDRA[RG],HUNDRA(H),04866
HUNGRIG[VBS?],HUNGRIG(JJ),04868
HUNGRIG[VBS?],HUNGRIG(JJ+ner),04960
HUNGRIG[VBS?],HUNGRIG(JJ+från),08446
HUR[AB],HUR(H),04569
HUR-GÖRA[AB],HUR-GÖRA(AA),01341
HUR-MÅNGA[AB],HUR-MÅNGA(55),01062
HUS[NN],HUS(JJ),00696
HUS@kl[NNKL],,
HUVA[NN],HUVA(QQ),03862
HUVUD[NN],HUVUD(L),02545
HUVUD[NN],HUVUD-HJÄRNA(Jvt),07883
HYFF[AB],HYFF(J),00112
HYLLA[NN],HYLLA(J),00244
HYLLA[NN],HYLLA(JJ),00663
HYLLA[NN],HYLLA(J+upp),05174
HYRA[VB],HYRA(H+fram),09735
HYRA[VB],HYRA(H+höger),14976
HÅL[NN],HÅL(L+framr),04876
HÅL[NN],HÅL(L+nerr),14228
HÅL@b[NN],HÅL@b,08755
HÅLLA[VB],HÅLLA(GG+studs),02177
HÅLLA[VB],HÅLLA(GG),10877
HÅLLA-FÖR-SKRATT[VB],PINSAM(G),12900
HÅLLA-IHOP[VB],,
HÅLLA-MASKEN[VB],HÅLLA-MASKEN(S),01364
HÅLLA-MED[VB],HÅLLA-MED(LL),09049
HÅLLA-OM[VB],KRAM(JJvt),00523
HÅLLA-UT[VB],HÅLLA-UT(G),01984
HÅR[NN],HÅR(H),04527
HÅRBEKLÄDNAD[NN?],,
HÅRD[JJ],HÅRD(J+L+studs),02880
HÅRD[JJ],HÅRD(J+L+vrids),02902
HÄFTA[VB],,
HÄLSA-PÅ[VB],HÄLSA-PÅ(J+J),00354
HÄLSA-PÅ[VB],HÄLSA-PÅ(5),00840
HÄMTA[VB],HÄMTA(5b),01547
HÄNDA[VB],HÄNDA(J+L),03023
HÄNDA(G)[VB],,
HÄNDER(Y)[NN],,
HÄNGA[VB],HÄNGA(Lb),03520
HÄNGA[VB],HÄNGA(LLb),03583
HÄNGA-MED[VB],,
HÄNGA-PÅ[VB],,
HÄNGSLEN[NN],HÄNGSLEN(77b),03301
HÄNGSLEN[NN],HÄNGSLEN(88),07885
HÄNVISA[VB],HÄNVISA(JJ:),16587
HÄRDAD[VBS],HÄRDAD(J+L),02883
HÄRLIG[JJ],HÄRLIG(5),00841
HÄRMA[VB],HÄRMA(Rx),07922
HÄST[NN],,
HÄSTSVANS[NN],,
HÄVDA-SIG[VB],TA-MOD-TILL-SIG(GG),02169
HÖG[JJ],HÖG(Jvt),00247
HÖG[JJ],HÖG-TRAVE(J+J),00435
HÖG[JJ],HÖG(J),01114
HÖGER[NN?],HÖGER(J),00231
HÖGER[NN?],HÖGER(H),04788
HÖGRE-NIVÅ[NN],,
HÖGST[AB],HÖGST(J+Jvt),05054
HÖJA[VB],HÖJA(JJvt),01218
HÖJA[VB],HÖJD(J+J),14248
HÖJD@kl[NNKL],,
HÖNS[NN],HÖNS(7a),03346
HÖRA[VB],HÖRA(L),02663
HÖRA-IHOP[VB],HÖRA-IHOP(55),01031
HÖRANDE[NN],HÖRANDE(L),02664
HÖRAPPARAT[NN],HÖRAPPARAT(Lb+slås),02666
HÖRAPPARAT[NN],HÖRAPPARAT(Lb),03482
HÖRAPPARAT[NN],HÖRAPPARAT(7v),07688
HÖRLURAR[NN],HÖRLUR(77a),04401
HÖRN[NN],HÖRN(JJ),00583
HÖRSEL[NN],,
HÖST[NN],HÖST(5b),01522
I@b[PP],PEK(I),10342
